lng,lat
16.27935223,48.13411341
16.38307272,48.21057987
16.36977493,48.22189849
16.3259005,48.245071
16.34548,48.15482
16.33681679,48.19574443
16.378803,48.2389509
16.33627,48.20556
16.3980541,48.2237639
16.38596491,48.24032403
16.32661,48.23513
16.3470939,48.2046573
16.39541161,48.22772277
16.2042456,48.2060619
16.3928316,48.1922239
16.3214247,48.2433077
16.3044292,48.2241615
16.33198,48.17102
16.36093,48.2143
16.32757,48.1672
16.48178,48.29253
16.3184392,48.208778
16.3305666,48.1761711
16.3694853,48.204586
16.3306118,48.1843834
16.40547,48.18628
16.32359,48.22255
16.2915,48.17732
16.47491,48.20342
16.39535,48.22616
16.37552,48.18565
16.33296,48.19658
16.3700128,48.2159824
16.34953,48.19982
16.35358,48.23582
16.42188108,48.26655304
16.3025978,48.1837176
16.3986336,48.2227997
16.34143,48.20432
16.37516869,48.21152115
16.29385,48.1959
16.39755,48.22403
16.4363029,48.1844407
16.316055,48.26511833
16.33198381,48.1710171
16.37187,48.20918
16.370173,48.2259815
16.40956,48.17846
16.36437,48.23942
16.435085,48.2030939
16.44669,48.23312
16.29555,48.22142
16.36842105,48.19261926
16.3520911,48.1817906
16.39811,48.22322
16.3512644,48.1977777
16.383202,48.2349703
16.28561,48.14311
16.39811,48.22412
16.33906,48.19542
16.38057,48.19982
16.31041,48.20794
16.36233,48.1873
16.29149798,48.19441944
16.3962209,48.2058459
16.37652,48.23942
16.369235,48.2543129
16.41700405,48.25472547
16.3595577,48.2253932
16.39946,48.22322
16.3253941,48.1852807
16.3780707,48.2371287
16.475373,48.1666627
16.36194,48.21483
16.28261,48.19389
16.3703999,48.2201203
16.33848177,48.13954581
16.3070873,48.201886
16.35762,48.17822
16.32119,48.15122
16.4013895,48.2259919
16.36572,48.17282
16.3495454,48.205267
16.4340439,48.2378015
16.2985,48.19588
16.3488811,48.1977338
16.3999883,48.2256217
16.3908787,48.1932686
16.37011,48.23189
16.4038254,48.2636949
16.3904511,48.1934089
16.34683,48.21602
16.47994,48.2198
16.2888,48.20072
16.3266411,48.1728543
16.361124,48.2148434
16.52227,48.20792
16.35897436,48.19621962
16.28617554,48.19231598
16.41698,48.21883
16.4414629,48.2179885
16.40285,48.1862
16.25641,48.20252
16.40350877,48.18721872
16.39876,48.22327
16.38731,48.27813
16.31309,48.19352
16.391363,48.1953195
16.3167378,48.2138101
16.2923904,48.1953698
16.3445939,48.2092998
16.3902137,48.2156568
16.29829,48.19677
16.39541,48.22682
16.33253,48.20784
16.44746,48.25123
16.3422972,48.211276
16.2505173,48.2008379
16.36257,48.18699
16.39876,48.22351
16.37112,48.20792
16.38578,48.20586
16.4211753,48.235054
16.3326158,48.2080744
16.4391615,48.2969144
16.27994,48.17236
16.37787,48.19082
16.37050363,48.22181447
16.4387282,48.2775557
16.3466381,48.20708
16.39406208,48.18181818
16.47773,48.21692
16.35762,48.23582
16.45749,48.22142
16.3852736,48.2524063
16.33089,48.20955
16.3989592,48.1874605
16.36716,48.20882
16.2860411,48.1893601
16.29646,48.19598
16.29697,48.19749
16.2482014,48.2036339
16.2762077,48.1933101
16.2680416,48.1603153
16.4062145,48.2458361
16.27107,48.21301
16.30232,48.21014
16.32793522,48.23222322
16.3949824,48.2467045
16.3721997,48.2253882
16.3937615,48.2184922
16.40216,48.18722
16.4207522,48.2224156
16.39487,48.20735
